ID Chemical,Actual Class,J48 Prediction,NB Prediction,IBk5 Prediction,SVM Prediction
21775,Inactive,Inactive,Inactive,Inactive,Inactive
20157,Inactive,Inactive,Inactive,Inactive,Inactive
20952,Inactive,Inactive,Inactive,Inactive,Inactive
20050,Inactive,Inactive,Inactive,Inactive,Inactive
21111,Inactive,Inactive,Inactive,Inactive,Inactive
20250,Inactive,Inactive,Inactive,Inactive,Inactive
21142,Inactive,Inactive,Inactive,Inactive,Inactive
20463,Inactive,Inactive,Inactive,Inactive,Inactive
20710,Inactive,Inactive,Inactive,Inactive,Inactive
20517,Inactive,Inactive,Inactive,Inactive,Inactive
20539,Inactive,Inactive,Inactive,Inactive,Inactive
20017,Inactive,Inactive,Inactive,Inactive,Inactive
20706,Inactive,Inactive,Inactive,Inactive,Inactive
21388,Inactive,Inactive,Inactive,Inactive,Inactive
21388,Inactive,Inactive,Inactive,Inactive,Inactive
20931,Inactive,Inactive,Inactive,Inactive,Inactive
21764,Inactive,Inactive,Inactive,Inactive,Inactive
21491,Inactive,Inactive,Inactive,Inactive,Inactive
20699,Inactive,Inactive,Inactive,Inactive,Inactive
21370,Inactive,Inactive,Inactive,Inactive,Inactive
20734,Inactive,Inactive,Inactive,Inactive,Inactive
20086,Inactive,Inactive,Inactive,Inactive,Inactive
20843,Inactive,Inactive,Inactive,Inactive,Inactive
20199,Inactive,Inactive,Inactive,Inactive,Inactive
20287,Inactive,Inactive,Inactive,Inactive,Inactive
20900,Inactive,Inactive,Inactive,Inactive,Inactive
20920,Inactive,Inactive,Inactive,Inactive,Inactive
21873,Inactive,Inactive,Inactive,Inactive,Inactive
20594,Inactive,Inactive,Inactive,Inactive,Inactive
20704,Inactive,Inactive,Inactive,Inactive,Inactive
21067,Inactive,Inactive,Inactive,Inactive,Inactive
20959,Inactive,Inactive,Inactive,Inactive,Inactive
21408,Inactive,Inactive,Inactive,Inactive,Inactive
21671,Inactive,Inactive,Inactive,Inactive,Inactive
21249,Inactive,Inactive,Inactive,Inactive,Inactive
21672,Inactive,Inactive,Inactive,Inactive,Inactive
21578,Inactive,Inactive,Inactive,Inactive,Inactive
20576,Inactive,Inactive,Inactive,Inactive,Inactive
21186,Inactive,Inactive,Inactive,Inactive,Inactive
20040,Inactive,Inactive,Inactive,Inactive,Inactive
20262,Inactive,Inactive,Inactive,Inactive,Inactive
20170,Inactive,Inactive,Inactive,Inactive,Inactive
21219,Inactive,Inactive,Inactive,Inactive,Inactive
20263,Inactive,Inactive,Inactive,Inactive,Inactive
20967,Inactive,Inactive,Inactive,Inactive,Inactive
20974,Inactive,Inactive,Inactive,Inactive,Inactive
20644,Inactive,Inactive,Inactive,Inactive,Inactive
20653,Inactive,Inactive,Inactive,Inactive,Inactive
20852,Inactive,Inactive,Inactive,Inactive,Inactive
17414,Inactive,Inactive,Inactive,Inactive,Inactive
21426,Inactive,Inactive,Inactive,Inactive,Inactive
21331,Inactive,Inactive,Inactive,Inactive,Inactive
21451,Inactive,Inactive,Inactive,Inactive,Inactive
21875,Inactive,Inactive,Inactive,Inactive,Inactive
20131,Inactive,Inactive,Inactive,Inactive,Inactive
21334,Inactive,Inactive,Inactive,Inactive,Inactive
20140,Inactive,Inactive,Inactive,Inactive,Inactive
21361,Inactive,Inactive,Inactive,Inactive,Inactive
20183,Inactive,Inactive,Inactive,Inactive,Inactive
